event,file,best_location_when,Best location ISO8601,Best location PST,best_lat,best_lon,best_location,best_country,best_timezone,body.temperature,Body temperature (F),body.bearing,body.distance,body.dop,body.velocity
2341653a-fc07-86ed-8e9f-cd13e692dbed,_track.qo,1754775430,2025-08-09T21:37:10,8/9/2025 14:37,46.3847275,-123.1622773,Vader WA,US,America/Los_Angeles,3.3125,38,334.03732,7.0083313,1.0302734,0.14911343
486c5ecc-0cfa-8674-bd97-d0b49852d0b1,_track.qo,1754775383,2025-08-09T21:36:23,8/9/2025 14:36,46.3846725,-123.1622383,Vader WA,US,America/Los_Angeles,3.3125,38,242.64433,40.73381,0.8300781,8.146762
b2a8e022-8bb0-8db7-95c1-e7a90de3b6d5,_track.qo,1754775378,2025-08-09T21:36:18,8/9/2025 14:36,46.3848425,-123.1617617,Vader WA,US,America/Los_Angeles,3.3125,38,,,,
268b2f78-9973-83b5-b9b5-3013d1e216f2,_track.qo,1754773657,2025-08-09T21:07:37,8/9/2025 14:07,46.4801975,-122.993543,Winlock WA,US,America/Los_Angeles,12.875,55.2,,,,
c096e697-865b-84f0-9904-26f5779d3960,_track.qo,1754773349,2025-08-09T21:02:29,8/9/2025 14:02,46.4801975,-122.993543,Winlock WA,US,America/Los_Angeles,14.375,57.9,,,,
54bbdc01-ffc5-8a03-b350-7d96d4f8cd3a,_track.qo,1754773037,2025-08-09T20:57:17,8/9/2025 13:57,46.4801975,-122.993543,Winlock WA,US,America/Los_Angeles,16,60.8,,,,
911de59b-f9f3-8a24-8a92-efb812f1f7be,_track.qo,1754773037,2025-08-09T20:57:17,8/9/2025 13:57,46.4801975,-122.993543,Winlock WA,US,America/Los_Angeles,17.875,64.2,,,,
59deea03-8966-8e54-8710-14aaee050042,_track.qo,1754772738,2025-08-09T20:52:18,8/9/2025 13:52,46.4805125,-122.9632383,Winlock WA,US,America/Los_Angeles,17.875,64.2,,,,
e724b061-e473-871c-8645-de13c977e9af,_track.qo,1754772438,2025-08-09T20:47:18,8/9/2025 13:47,46.4826125,-122.917043,Winlock WA,US,America/Los_Angeles,19.1875,66.5,,,,
a36d14ad-3a01-86b3-8035-4a6b96911880,_track.qo,1754772143,2025-08-09T20:42:23,8/9/2025 13:42,46.4805375,-122.8891758,Winlock WA,US,America/Los_Angeles,19.625,67.3,265.05194,1810.3276,0.6699219,6.0143776
08306f67-a060-8adc-b65c-c8bc8a1184d4,_track.qo,1754771842,2025-08-09T20:37:22,8/9/2025 13:37,46.4819425,-122.8656211,Toledo WA,US,America/Los_Angeles,22.375,72.3,286.34372,2755.5908,0.6401367,9.340986
13bd0c54-2eb7-8557-bcec-d75337ba075e,_track.qo,1754771547,2025-08-09T20:32:27,8/9/2025 13:32,46.474982499999996,-122.831082,Toledo WA,US,America/Los_Angeles,22.375,72.3,261.40536,1558.7389,0.6201172,5.144353
4d3ce170-9e18-8e41-9374-3001e271717b,_track.qo,1754771244,2025-08-09T20:27:24,8/9/2025 13:27,46.4770725,-122.810957,Toledo WA,US,America/Los_Angeles,24.9375,76.9,249.8703,1748.9586,0.6298828,5.829862
73085cb0-20f5-8162-a50c-b9189d7faffc,_track.qo,1754770944,2025-08-09T20:22:24,8/9/2025 13:22,46.4824875,-122.7895117,Toledo WA,US,America/Los_Angeles,24.9375,76.9,276.67303,999.066,,3.3866644
7e5a50a4-ee38-8bb0-88ab-0db19826bab3,_track.qo,1754770649,2025-08-09T20:17:29,8/9/2025 13:17,46.4814425,-122.7765508,Toledo WA,US,America/Los_Angeles,28.4375,83.2,242.03995,1454.3042,0.6201172,4.8638935
3ac7e90f-fc61-8307-ae12-30130b10b4d0,_track.qo,1754770350,2025-08-09T20:12:30,8/9/2025 13:12,46.487582499999995,-122.7597773,Toledo WA,US,America/Los_Angeles,28.4375,83.2,221.10571,1420.2817,0.6801758,4.766046
26145e95-3e0c-8e3f-963f-d4e5adff1341,_track.qo,1754770052,2025-08-09T20:07:32,8/9/2025 13:07,46.4972025,-122.747582,Onalaska WA,US,America/Los_Angeles,26.8125,80.3,192.46884,997.40356,0.6699219,3.3246787
db4efdbf-8bbb-8a16-800b-88ae206c9e34,_track.qo,1754769752,2025-08-09T20:02:32,8/9/2025 13:02,46.5059625,-122.7447695,Onalaska WA,US,America/Los_Angeles,29.75,85.6,175.4036,2456.0374,0.6699219,8.18679
8d69029f-dd78-8e76-9dec-c2a46d681a97,_track.qo,1754769452,2025-08-09T19:57:32,8/9/2025 12:57,46.527977500000006,-122.7473398,Onalaska WA,US,America/Los_Angeles,29.75,85.6,161.07979,3476.8936,0.66015625,11.628407
d90a4400-15d1-8c56-b92f-8227437e4a88,_track.qo,1754769153,2025-08-09T19:52:33,8/9/2025 12:52,46.5575575,-122.762082,Onalaska WA,US,America/Los_Angeles,30.375,86.7,159.37383,4153.636,0.66015625,13.89176
54299b01-14e4-87ab-b1c6-e9a50ce4fe0d,_track.qo,1754768854,2025-08-09T19:47:34,8/9/2025 12:47,46.5925175,-122.781207,Onalaska WA,US,America/Los_Angeles,36.625,97.9,167.76228,5529.232,0.6699219,18.554468
d906ccbc-a785-83e0-89fd-3b9bffe7322f,_track.qo,1754768556,2025-08-09T19:42:36,8/9/2025 12:42,46.6411175,-122.7965586,Onalaska WA,US,America/Los_Angeles,36.625,97.9,167.17314,6151.9604,0.6298828,20.644163
33b614be-28f3-8594-b7dd-a1b4e125d191,_track.qo,1754768258,2025-08-09T19:37:38,8/9/2025 12:37,46.6950625,-122.8144414,Centralia WA,US,America/Los_Angeles,40.9375,105.7,159.84956,6515.1997,0.6298828,21.71733
489c09d9-7bc0-8031-97f2-56358362e44b,_track.qo,1754767958,2025-08-09T19:32:38,8/9/2025 12:32,46.7500725,-122.8438711,Bucoda WA,US,America/Los_Angeles,40.9375,105.7,162.12434,6701.6826,0.6298828,22.264727
6cb72e36-9d04-8c5a-9fa6-d69a410a6058,_track.qo,1754767657,2025-08-09T19:27:37,8/9/2025 12:27,46.807432500000004,-122.8708711,Bucoda WA,US,America/Los_Angeles,46.4375,115.6,156.83643,6286.5586,0.60009766,21.166864
